,loss_opt_rot,loss_rand_rot,loss_single_rot,loss_single_rot_noopt,rotation
0,585.0754797363281,607.9362077331543,589.9673606872559,598.6978573608399,0.0
1,613.9793368530273,602.9528231811523,601.9435256958008,633.1022958374024,15.0
2,610.0858720397949,624.7652444458008,611.5929545593261,644.9167393493652,30.0
3,599.6438446044922,635.8022103881835,625.4128643798828,685.324261932373,45.0
4,602.0046585083007,611.2665116882324,613.8539434814453,701.8947811889649,60.0
5,597.219610748291,620.491561126709,614.9506143188477,718.5131770324707,75.0
6,583.3312731933594,600.3359602355957,591.7167460632324,727.129786529541,90.0
7,607.5721269226074,610.9640919494628,613.7108575439453,741.3598832702637,105.0
8,593.6371905517578,600.3421464538574,620.3148493957519,732.3695782470703,120.0
9,610.0465495300293,614.6853620910645,620.8445327758789,717.9061320495606,135.0
10,590.2462294006348,609.5316291809082,615.6055601501465,701.6016046142578,150.0
11,622.6538482666016,623.7403527832031,611.8326710510254,678.1900021362304,165.0
