,loss,rotation
0,572.0133501739502,0.0
1,598.9262419616699,15.0
2,622.8369023712158,30.0
3,643.9541661102295,45.0
4,661.1843685974121,60.0
5,673.9455766418457,75.0
6,677.3036530212403,90.0
7,688.9746129089356,105.0
8,684.1892287750244,120.0
9,670.8180941314697,135.0
10,655.3096839111328,150.0
11,638.5432768035889,165.0
